Corrida,Fitness,Tiempo (s),Iteracion optima,BLOSUM score,,,
1,14.2,5.83914423,1,13,,,
2,14.2,5.818400621,1,13,,,
3,14.2,5.778406143,1,13,,,
4,14.2,5.976067305,1,13,,,
5,14.2,6.086921692,1,13,,,
6,14.2,5.932471514,1,13,,,
7,14.2,6.136642218,1,13,,,
8,14.2,6.159836054,1,13,,,
9,14.2,6.135109186,1,13,,,
10,14.2,6.515582561,1,13,,,
11,14.2,6.62216568,1,13,,,
12,14.2,6.74949193,1,13,,,
13,14.2,6.753149033,1,13,,,
14,14.2,7.282868624,1,13,,,
15,14.2,6.677079439,1,13,,,
16,14.2,6.614924669,1,13,,,
17,14.2,6.711244345,1,13,,,
18,14.2,6.569360495,1,13,,,
19,14.2,6.563243389,1,13,,Numero de bacterias,2
20,14.2,6.674112558,1,13,,Numero random de bacterias,1
21,14.2,6.773917198,1,13,,Iteraciones,2
22,14.2,6.761815071,1,13,,Tumbo,1
23,14.2,6.900554895,1,13,,w_atract,0.002
24,14.2,6.685364008,1,13,,dtract,0.1
25,14.2,6.576805353,1,13,,wRepel,0.001
26,14.2,7.189630747,1,13,,,
27,14.2,6.655925035,1,13,,,
28,14.2,6.450879097,1,13,,,
29,14.2,6.719712257,1,13,,,
30,14.2,6.616721153,1,13,,,
