Corrida,Fitness,Tiempo (s),Iteracion optima,BLOSUM score
1,14.2,5.20610857,1,13
2,14.2,5.069838285,1,13
3,14.2,5.215664387,1,13
4,14.2,5.074103355,1,13
5,14.2,4.92592454,1,13
6,14.2,5.008718014,1,13
7,14.2,5.322394848,1,13
8,14.2,5.400583267,1,13
9,14.2,6.751289845,1,13
10,14.2,5.176517487,1,13
11,14.2,5.286502123,1,13
12,14.2,6.251973391,1,13
13,14.2,6.349446058,1,13
14,14.2,5.407663107,1,13
15,14.2,4.966135263,1,13
16,14.2,5.433992863,1,13
17,14.2,5.40331912,1,13
18,14.2,5.191280127,1,13
19,14.2,5.261169672,1,13
20,14.2,5.206428528,1,13
21,14.2,5.089457035,1,13
22,14.2,5.257674932,1,13
23,14.2,5.000885963,1,13
24,14.2,5.329436779,1,13
25,14.2,5.00246644,1,13
26,14.2,5.426524878,1,13
27,14.2,5.549890518,1,13
28,14.2,5.663232327,1,13
29,14.2,5.828201771,1,13
30,14.2,5.155740261,1,13
